        id              lexeme                     type      line      char
---------------------------------------------------------------------------
         0                 int                  Keyword         1         1
         1                main                  Keyword         1         5
         2                   (           Special Symbol         1         9
         3                   )           Special Symbol         1        10
         4                   {           Special Symbol         1        12
         5                 int                  Keyword         4         3
         6                   a               Identifier         4         7
         7                   =      Assignment Operator         4         9
         8                   0                  Integer         4        11
         9                   ,           Special Symbol         4        12
        10                   b               Identifier         4        14
        11                   =      Assignment Operator         4        15
        12                   5                  Integer         4        16
        13                   ;           Special Symbol         4        17
        14                 int                  Keyword         5         3
        15                   c               Identifier         5         7
        16                   =      Assignment Operator         5         9
        17                   a               Identifier         5        11
        18                   +      Arithmetic Operator         5        12
        19                   b               Identifier         5        13
        20                   /      Arithmetic Operator         5        14
        21                   2                  Integer         5        15
        22                   ;           Special Symbol         5        16
        23               float                  Keyword         6         3
        24                   x               Identifier         6         9
        25                   =      Assignment Operator         6        10
        26                1.23                    Float         6        11
        27                   ;           Special Symbol         6        15
        28                 for                  Keyword         7         3
        29                   (           Special Symbol         7         6
        30                 int                  Keyword         7         7
        31                   i               Identifier         7        11
        32                   =      Assignment Operator         7        12
        33                   0                  Integer         7        13
        34                   ;           Special Symbol         7        14
        35                   i               Identifier         7        16
        36                   <      Relational Operator         7        17
        37                   5                  Integer         7        18
        38                   ;           Special Symbol         7        19
        39                   i               Identifier         7        21
        40                   =      Assignment Operator         7        22
        41                   i               Identifier         7        23
        42                   +      Arithmetic Operator         7        24
        43                   1                  Integer         7        25
        44                   )           Special Symbol         7        26
        45                   {           Special Symbol         7        28
        46                   c               Identifier         8         5
        47                   =      Assignment Operator         8         7
        48                   c               Identifier         8         9
        49                   +      Arithmetic Operator         8        11
        50                   1                  Integer         8        13
        51                   ;           Special Symbol         8        14
        52                   }           Special Symbol         9         3
        53                 int                  Keyword        10         3
        54                 2b4       Invalid Identifier        10         7
        55                   =      Assignment Operator        10        10
        56                  32                  Integer        10        11
        57                   ;           Special Symbol        10        13
        58                 int                  Keyword        11         3
        59                  a3               Identifier        11         7
        60                   =      Assignment Operator        11        10
        61                   2                  Integer        11        12
        62                   *      Arithmetic Operator        11        13
        63                 2b4       Invalid Identifier        11        14
        64                   ;           Special Symbol        11        17
        65                char               Identifier        12         3
        66                   c               Identifier        12         8
        67                   =      Assignment Operator        12        10
        68                 'h'                  Literal        12        12
        69                   ;           Special Symbol        12        15
        70              string               Identifier        13         3
        71                   s               Identifier        13        10
        72                   =      Assignment Operator        13        12
        73             "hello"                  Literal        13        14
        74                   ;           Special Symbol        13        21
        75              return                  Keyword        17         3
        76                   0                  Integer        17        10
        77                   ;           Special Symbol        17        11
        78                   }           Special Symbol        18         1
